node,children_node
NetOperateCashFlowGrowth2RevenueGrwothTtm_v2,
NetprofitIndustryDeviationTtm,
NonOperIncome2NetProfitTtm,
OperateCashFlowIn2RevenueGrowthTtm,
OperateCashflowInAbnormal,
OperateCashFlowInAdjustDeviationLyr,
OperateCashflowInSum,
OperateCashIn2RevenuGrwothConflict,OperateCashFlowIn2RevenueGrowthTtm
OperateCashIn2RevenuGrwothConflict_v2,OperateCashFlowIn2RevenueGrowthTtm
OperateProfitAbnormal,OperateProfitLyr
OperateProfitAdjustDeviationLyr,
OperateProfitLyr,
OperateProfitLyrStar,
OperateRevenueAdjustDeviationLyr,
OperateRevenueGrowthLyr,
OperateRevenueGrowthLyrStar,
OperateRevenueGrowthSq,
OperateRevenueGrowthTtm,
OperateRevenueGrowthTtmStar,
OperationAbnormal,NetOperateCashflow2ARGrowthDeviation
OperationAbnormal,OperateCashIn2RevenuGrwothConflict
OperationAbnormal,OverARTurnoverIndustryDeviation
OperationAbnormal,OverAssetsTurnoverIndustryDeviation
OperationAbnormal,OverInventoryTurnoverDeviation
OperationAbnormal_v2,NetOperateCashflow2ARGrowthDeviation_v2
OperationAbnormal_v2,OperateCashIn2RevenuGrwothConflict_v2
OperationAbnormal_v2,OverARTurnoverIndustryDeviation
OperationAbnormal_v2,OverAssetsTurnoverIndustryDeviation
OperationAbnormal_v2,OverInventoryTurnoverDeviation
OperProfit2CFFODeviation,
OpinionAbnormal,
OpinionAbnormalStar,
ORMergeAndParentDevationAbnormal,ORMergeAndParentDevationLr
ORMergeAndParentDevationLr,
ORMergeAndParentDevationLrStar,
OtherARAbnroaml,OtherARRatioLr
OtherARRatioLr,
OtherARRatioLrStar,
OtherCurrentAssetsAbnormal,
OtherCurrentAssetsRatioGrwothLr,
OtherCurrentAssetsRatioGrwothLrStar,
OtherCurrentAssetsRatioLr,
OtherCurrentAssetsRatioLrStar,
OverAR2CurrentAssetsIndustryDeviation_v2,AR2CurrentAssetsIndustryDeviation_v2
OverARTurnoverIndustryDeviation,ARTurnoverIndustryDeviationTtm
OverAssetsTurnoverIndustryDeviation,AssetsTurnoverIndustryDeviationLr
OverCashInterestMultipleIndustryDeviation,Cash_InteretMultiIndustryDeviationLyr
OverCashRecoveryRateIndustryDeviation,CashRecoveryRateIndustryDeviationTtm
